,emotion,gender,actor_id,intensity,statement,repetition,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40
0,neutral,male,1,01,01,01,-670.19543,65.06385,0.8889541,14.715979,9.182164,0.6605749,-3.846836,-3.583946,-12.959006,-3.300133,0.9107796,-3.5970356,2.376274,-4.3889413,0.5450803,0.89185166,-4.802591,-2.105414,-1.605969,-1.0523903,-7.067281,-0.6230609,-2.7280297,-5.307361,-1.9691166,-0.94615287,-5.721111,0.3329911,-2.5438454,0.18220846,-2.3510976,-2.504727,-3.151507,-2.1908991,-3.8017597,-1.8130877,-1.2612224,-2.1449544,-4.152173,-1.7796154
1,neutral,male,1,01,01,02,-660.23035,63.325817,-2.6304572,17.983355,9.407703,-0.98149806,-2.3246973,-6.8480315,-14.13367,-2.2003322,0.48575452,-3.5897148,0.7036762,-4.296376,-0.5792639,0.1683524,-5.55693,-1.3754357,-2.431206,0.39963502,-6.519148,-1.1592473,-2.423798,-5.6531844,-0.87866455,-2.0320818,-5.7213798,1.300427,-2.8386805,0.058384888,-1.7864136,-3.113372,-2.5567517,-2.9351122,-3.6549623,-0.98804826,-1.4998252,-3.6171255,-3.7516935,-2.7309139
2,neutral,male,1,01,02,01,-661.9645,66.65587,-0.93215775,14.899042,5.3247027,0.47434273,-3.3466513,-7.1025248,-12.873403,-5.088379,0.0013453722,-3.964232,1.5700024,-4.519395,-2.757466,0.72773075,-6.1253796,-3.963368,-0.18352365,-0.12927581,-6.4628143,-1.3566462,-2.4518979,-4.0212307,-1.6523415,-0.5191879,-5.061178,-0.47720942,-2.6639094,-0.45191902,-2.264493,-2.64365,-2.9371674,-2.361648,-3.3451042,-2.4260595,-1.4600126,-3.2813096,-4.2086134,-2.7262056
3,neutral,male,1,01,02,02,-657.72235,65.03519,3.148672,15.666511,7.5826573,2.6280873,-1.8500686,-7.4775786,-11.976265,-4.458463,0.47438192,-2.4187021,0.20188099,-4.021397,-2.424711,1.2347196,-5.734745,-2.6751382,-0.2163684,-0.6267835,-5.7387567,-2.3356445,-1.8039048,-3.3132303,-2.4136572,-1.2878957,-5.5550337,-0.6311902,-2.7793753,0.6800429,-2.9185772,-2.8496118,-3.5914872,-3.1040158,-3.4957066,-1.6284109,-1.3048779,-3.0327938,-3.9739642,-3.8617792
4,calm,male,1,01,01,01,-694.5796,72.531715,3.1045616,17.112118,9.077339,1.8362565,-4.146086,-4.797151,-11.764123,-5.9254804,0.92036,-3.949307,0.51349837,-4.053604,-0.62032574,1.7735199,-6.5415163,-0.92214614,-1.4762515,-1.9375764,-5.5625534,-1.5466841,-3.2701268,-5.0892906,-2.0948455,-1.4452754,-5.6710796,1.5286288,-3.6010969,0.5721105,-2.50713,-1.4058732,-2.2903457,-2.8791435,-2.0690923,-0.5444642,-2.0738165,-2.0806112,-4.5739408,-3.2469413
5,calm,male,1,01,01,02,-676.02344,80.26263,2.5032034,13.3088665,11.569082,1.1933577,-5.3659854,-5.692615,-9.998198,-5.7293344,1.9533231,-2.9317298,-0.2783358,-4.232111,-2.0333169,1.183476,-5.9730005,-2.61998,-1.0506548,-1.7569706,-5.558182,-2.149296,-3.1298778,-5.1158533,-2.5825567,-1.626486,-5.3614106,0.3847887,-3.4677882,0.32354203,-4.073999,-2.7750332,-4.051667,-4.126582,-4.4944887,-1.4400598,-2.5257032,-3.6805167,-5.1545353,-4.82557
6,calm,male,1,01,02,01,-666.6185,75.51372,0.7542206,15.570237,6.638893,3.128689,-1.8389338,-5.8404164,-10.310458,-5.5001116,2.0212364,-2.0762117,1.4491689,-5.4239283,1.5644326,-0.05036081,-7.4645844,-3.1895037,-0.20267992,-2.1165667,-6.964725,-1.7746927,-2.723619,-3.833716,-2.7718692,-1.2965732,-6.349638,0.9910259,-4.507697,-0.20283175,-3.7652102,-2.0190783,-2.9941032,-3.6608636,-4.882985,-2.326971,-2.525656,-2.6970363,-5.524481,-3.4006548
7,calm,male,1,01,02,02,-667.1171,79.26519,0.21456468,14.969451,8.738844,1.6147742,-1.5327643,-7.3180475,-9.807106,-5.784626,0.626626,-2.4500756,1.2911066,-4.725026,0.25915188,0.9932463,-6.7559447,-2.528209,-0.9139521,-1.5174524,-7.6917267,-1.9538152,-2.9422507,-2.5979004,-3.1744,-0.9015695,-5.1737785,0.15214334,-4.5642843,-0.108753055,-4.197777,-2.1417785,-2.658834,-3.0961518,-4.1241503,-2.1030493,-1.4097143,-2.7554288,-4.0432625,-3.90801
8,calm,male,1,02,01,01,-687.3938,86.30303,4.9101667,16.588547,11.206296,2.00706,-4.878831,-3.8133452,-7.948538,-5.7055464,2.2010863,-0.16574505,-0.3443661,-4.7770615,0.16891822,0.49595395,-2.4586957,-3.282157,-0.5189236,1.2123774,-8.704743,-0.005511827,-3.3424683,-4.8832526,-2.3363047,-1.0039864,-4.046401,1.1709554,-3.9957614,0.20260511,-4.313591,-3.5529664,-4.675297,-2.6140013,-6.5780973,0.57004476,-3.5753553,-3.0310507,-5.966482,-3.9765954
9,calm,male,1,02,01,02,-632.44934,89.4056,-0.7624835,15.570318,9.03804,0.5364826,-6.2400036,-8.146271,-10.77365,-6.593976,3.4899037,-2.0718486,-1.5570123,-6.293864,-0.25939953,-1.2985007,-5.4691114,-3.0567813,-1.1076868,-0.44797412,-8.642469,0.058578137,-2.9185982,-4.896619,-3.2286777,-2.0899036,-6.127,0.17608722,-3.652066,-0.9486785,-5.3322268,-3.2980518,-5.712328,-3.876625,-7.0523615,-1.5666845,-2.7754607,-3.0271723,-5.9903073,-4.581634
10,calm,male,1,02,02,01,-612.8108,91.1305,3.6563616,14.375622,5.6840687,6.5952787,-7.8155265,-7.7080717,-12.261244,-7.3132215,2.3346727,0.5922539,-0.21268322,-6.798617,1.2515185,-2.2120385,-6.8001466,-3.5448704,-2.9908335,-0.8893139,-10.403039,-0.67418313,-2.0957515,-6.423266,-3.41632,0.26917657,-7.55689,1.7350616,-6.3862123,-0.40796492,-5.87651,-3.08544,-4.012864,-3.9857943,-6.4035287,-0.7463749,-2.517027,-4.669392,-6.8868833,-3.9473896
11,calm,male,1,02,02,02,-615.4578,86.49379,-5.1948757,19.32302,8.754476,3.5146327,-6.1018257,-11.22689,-13.208188,-5.202708,4.8854938,-1.4740356,-0.51255995,-7.3895626,-0.66079617,0.08569483,-6.2415004,-3.1982994,-0.8431407,-0.18877523,-9.285505,-2.1676733,-2.014457,-5.0593767,-1.6729469,-0.6057876,-5.6028285,1.131764,-3.6940224,-1.1742232,-5.8070245,-4.0277047,-5.182002,-3.6595755,-5.8025265,-0.8491285,-2.177039,-4.197674,-6.0780406,-5.1339254
